"GeneName"	"NAc1"	"NAc2"	"NAc3"	"NAc4"	"DG1"	"DG2"	"DG3"	"DG4"
"Gbx1"	1.73383767501022	1.51561806390926	1.73341374319559	1.68005612488823	-0.547491781731027	-0.547775957737997	-0.615592323669338	-0.547702876371678
"Synpr"	1.51208249490938	1.16148613679021	2.08196077053323	1.61448124585966	-0.677784994169896	-0.676407962625465	-1.17052563878098	-0.498711205801643
"Ngfr"	1.53192269558636	1.00581385207004	2.41932767646439	1.44765100348152	-0.432583059186871	-0.433298110210892	-0.46381598850586	-0.443480497909731
"Syt10"	0.978766157977255	2.04388451416153	2.23945558865712	0.910913557839874	-0.293959092330885	-0.400510570536468	-1.02031790256829	-0.0131025044204773
"Amigo2"	1.78409664825095	1.00662951493224	1.67113236638028	1.94051805708591	-0.471315637729781	-0.389581359305407	-0.00900525604220134	-0.592710974636958
"Ntrk1"	1.73194194467729	1.49418847178464	1.41008360006078	1.87122778481943	-0.631296138912215	-0.698963327151235	-0.736101213160786	-0.594271277382359
"Celf6"	1.71509245275878	0.566768637239495	2.06362017667059	1.88467121464141	-0.543785103939368	-0.467782940758425	-0.254413449030901	-0.626485477435352
"Bcl11b"	0.95899940616943	2.6428765072674	1.37986764861789	0.96392647824311	-0.830098792412845	-0.920895931302238	-0.741067959382368	-0.824657244304463
"Htr3a"	1.57535879648239	1.50628501032329	1.81928501168147	1.65309970361774	-0.719301782299694	-0.558576027891979	-0.522631520516461	-0.787310780422315
"Tacr1"	1.6954937270074	1.38585790927414	1.38032323185845	1.90246278477187	-0.713088339826208	-0.664205094106342	-0.486499156188287	-0.764473901494454
"Qpct"	1.64358340972832	1.26292820587756	1.59274542248285	1.8541999000858	-0.690557013148623	-0.6703910561195	-0.559106471850044	-0.735687768402227
"Oxt"	0.44361552071478	-0.067205371977076	3.62338505714648	0.250928570542785	-0.237874676462255	-0.238330013064353	-0.412427140544302	-0.151077988375019
"Adra2c"	1.17990752600178	2.38818078881714	1.27285092749321	1.27984618744339	-0.626258501083876	-0.630117498917756	-0.602915814644653	-0.64103592722016
"AABR07005752.1"	1.40909077574872	1.71707473430483	1.83362197628088	1.41363828934968	-0.426580413820481	-0.524077897338715	-0.971497548702211	-0.22788556099757
"Otof"	1.33496007884361	2.19228399907734	1.0829088071459	1.41482207318668	-0.822732037448543	-0.696775356522633	-0.898799990027489	-0.814570312829509
"Cpne5"	1.44342062969705	1.64659005974488	1.60346827205649	1.49645282298351	-0.505176858184853	-0.610284757511434	-0.977974176025758	-0.379408036291843
"Mn1"	1.48464656887833	1.8641266523844	1.21395724186977	1.55001772137956	-0.465306999682411	-0.544114045836737	-0.849222927991443	-0.398016086783506
"Tmem158"	1.57982284005972	1.39430147972193	1.27880412886945	1.7825855160752	-0.8110460765748	-0.803616843418572	-0.81364866995257	-0.805456464981373
"RGD1311744"	1.5293722651744	0.478133990851066	2.23159305820837	1.72145154686003	-0.397805991215554	-0.0394579212337278	-0.539558250227151	-0.380708886089885
"Ap1s2"	1.33046376303127	1.49794865564862	1.90887051801088	1.31474549388006	-0.481721934770046	-0.463820516454101	-0.646987377746459	-0.445964995066926
"Efnb2"	1.19147172590006	1.87332418086357	1.79607521745112	1.20656956634753	-0.145520342656344	0.0328009106231439	-0.354101348316518	-0.166208347052936
"Gpr165"	1.15012398174062	1.54400792187934	2.24250061069315	1.0647983589133	-0.180095605415646	0.143363934731367	-0.50816857850493	-0.132397050554955
"Slc5a7"	1.70936395642665	1.59984165149309	1.33129122638389	1.79090296295152	-0.62709827092692	-0.613158744526326	-0.686984806043572	-0.620220502017907
"AC097940.1"	1.54591798033184	1.46485600564859	1.72155828191025	1.57638229170266	-0.673797376669605	-0.675310746711413	-0.871706663105975	-0.543283287232916
"Insrr"	1.53323066496561	1.80177841093148	1.45940473369434	1.70591046873678	-0.517276290889133	-0.475254136915314	-0.730978215604928	-0.347062374359942
"Scn9a"	1.86833679762818	0.642215239177095	1.41901750752517	1.92607993400995	-0.594611579480345	-0.557079363582661	-0.733113308379938	-0.576295420484888
