"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
7,5,60,94.44,89.72,1
6,5,60,94.71,90.42,1
3,5,30,89.9366666666667,89.9,0.5
7,5,60,94.61,89.72,1
4,5,10,92.55,90.18,1
2,5,10,94.22,89.68,1
5,5,10,91.21,91.08,1
2,5,20,91.5633333333333,89.68,0.5
8,5,20,90.62,90.26,1
2,5,60,94.02,89.68,1
1,5,60,94,88.65,1
3,5,40,93.63,89.9,1
8,5,100,90.57,90.26,1
7,5,80,94.04,89.72,1
5,5,10,91.18,91.08,1
2,5,20,90.3866666666667,89.68,0.5
9,5,100,91.71,89.91,1
2,5,50,94.29,89.68,1
1,5,50,94.4,88.65,1
2,5,40,94.95,89.68,1
0,5,80,92.15,90.2,1
5,5,10,91.21,91.08,1
4,5,10,91.72,90.18,1
7,5,60,94.92,89.72,1
8,5,20,90.92,90.26,1
6,5,20,94.48,90.42,1
6,5,10,92.51,90.42,1
7,5,40,89.7966666666667,89.72,0.25
2,5,30,94.57,89.68,1
8,5,80,90.26,90.26,0.25
3,5,30,93.48,89.9,1
4,5,30,92.81,90.18,1
0,5,100,91.23,90.2,1
9,5,40,92.52,89.91,1
6,5,10,92.95,90.42,1
2,5,30,94.12,89.68,0.5
2,5,30,93.63,89.68,0.5
7,5,40,95.24,89.72,1
1,5,80,88.65,88.65,0.5
7,5,20,91.51,89.72,0.5
8,5,50,90.97,90.26,1
5,5,100,91.96,91.08,1
1,5,50,94.76,88.65,1
4,5,20,91.06,90.18,1
9,5,30,91.41,89.91,1
2,5,10,90.8566666666667,89.68,0.5
0,5,40,93.39,90.2,1
4,5,60,92.22,90.18,1
8,5,100,90.45,90.26,1
2,5,30,94.05,89.68,0.5
7,5,80,93.86,89.72,1
5,5,40,92.74,91.08,1
3,5,10,90.49,89.9,1
7,5,50,95.43,89.72,1
1,5,40,92.6,88.65,1
2,5,30,95.24,89.68,1
7,5,20,90.4533333333333,89.72,0.5
2,5,20,93.24,89.68,0.5
6,5,100,92.57,90.42,1
6,5,20,94.39,90.42,1
7,5,50,94.93,89.72,1
7,5,30,94.55,89.72,1
0,5,10,91.35,90.2,1
0,5,50,92.74,90.2,1
1,5,40,91.29,88.65,1
8,5,10,90.32,90.26,1
2,5,10,91.49,89.68,1
3,5,20,91.84,89.9,1
3,5,20,90.4966666666667,89.9,0.5
7,5,30,95.27,89.72,1
4,5,30,91.8,90.18,0.5
0,5,60,92.18,90.2,1
7,5,80,94.57,89.72,1
7,5,10,93.13,89.72,1
7,5,30,90.4,89.72,1
2,5,20,90.6,89.68,1
0,5,30,91.81,90.2,1
8,5,40,91.18,90.26,1
3,5,20,90.37,89.9,1
9,5,80,91.99,89.91,1
2,5,30,89.8,89.68,1
5,5,50,92.65,91.08,1
2,5,20,92.3833333333333,89.68,0.5
7,5,10,90.59,89.72,1
9,5,100,91.05,89.91,1
2,5,20,95,89.68,1
7,5,10,90.3233333333333,89.72,0.5
1,5,20,90.28,88.65,1
3,5,40,92.8833333333333,89.9,0.5
5,5,50,92.21,91.08,1
0,5,50,92.87,90.2,1
5,5,60,92.48,91.08,1
9,5,40,92.33,89.91,1
7,5,50,94.95,89.72,1
7,5,20,94.68,89.72,1
1,5,20,88.79,88.65,1
8,5,40,91.31,90.26,1
7,5,20,90.12,89.72,1
5,5,40,92.48,91.08,1
1,5,50,94.46,88.65,1
7,5,20,93.07,89.72,0.5
2,5,10,92.9333333333333,89.68,0.5
5,5,20,91.22,91.08,1
7,5,20,91.2333333333333,89.72,0.5
1,5,30,90.71,88.65,1
5,5,50,92.6,91.08,1
4,5,20,90.5166666666667,90.18,0.5
2,5,10,93.46,89.68,1
3,5,10,90.9433333333333,89.9,0.5
9,5,100,91.52,89.91,1
2,5,20,91.3666666666667,89.68,0.5
6,5,80,93.51,90.42,1
5,5,10,91.08,91.08,1
2,5,20,93.63,89.68,0.5
7,5,10,90.66,89.72,1
4,5,20,93.17,90.18,1
2,5,30,94.45,89.68,1
2,5,20,91.82,89.68,1
2,5,10,90.86,89.68,1
3,5,40,93.69,89.9,1
0,5,10,91.97,90.2,1
2,5,40,95.36,89.68,1
3,5,20,91.7366666666667,89.9,0.5
6,5,30,94.7,90.42,1
3,5,30,92.7333333333333,89.9,0.5
3,5,20,91.1566666666667,89.9,0.5
7,5,40,95.32,89.72,1
7,5,30,89.81,89.72,1
6,5,60,94.36,90.42,1
0,5,30,92.74,90.2,1
7,5,50,94.8,89.72,1
7,5,20,94.35,89.72,1
5,5,40,93.07,91.08,1
3,5,40,93.29,89.9,1
3,5,20,90.0933333333333,89.9,0.5
7,5,20,94.9,89.72,1
4,5,30,91.91,90.18,1
7,5,40,95.08,89.72,1
2,5,30,90.02,89.68,1
2,5,80,92.57,89.68,1
2,5,10,93.1,89.68,1
7,5,50,94.53,89.72,1
3,5,20,90.97,89.9,0.5
7,5,100,93.29,89.72,1
6,5,10,92.14,90.42,1
2,5,20,94.64,89.68,1
2,5,10,92.87,89.68,0.5
6,5,40,94.67,90.42,1
6,5,30,94.14,90.42,1
4,5,10,90.5433333333333,90.18,0.5
5,5,10,91.09,91.08,1
6,5,30,94.43,90.42,1
3,5,20,89.96,89.9,1
2,5,30,95.33,89.68,1
3,5,10,92.05,89.9,1
2,5,10,91.4,89.68,1
9,5,30,91.28,89.91,1
3,5,20,90.4033333333333,89.9,0.5
6,5,40,94.45,90.42,1
7,5,30,95,89.72,1
6,5,40,95.54,90.42,1
5,5,20,92.2,91.08,1
6,5,50,94.68,90.42,1
4,5,80,90.96,90.18,1
6,5,40,95.18,90.42,1
7,5,20,94.63,89.72,1
3,5,60,93.5,89.9,1
8,5,100,90.43,90.26,1
6,5,30,94.47,90.42,1
2,5,10,91.66,89.68,1
2,5,20,94.42,89.68,1
